"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  $","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  $","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
11.,"($) Vantrue N2X 2.7K Uber Dash Cam Front and Inside, 5G WiFi Dual Dash Camera for Car with HDR IR Night Vision, STARVIS 2, GPS, 2.5K/60FPS, LTE Support, 24/7 Parking Mode, Voice Control, Support 512GB Max","B0D9GRRXH5","https://www.amazon.com/dp/B0D9GRRXH5?psc=1","https://m.media-amazon.com/images/I/71OZi8sjJpL._AC_SX679_.jpg","VANTRUE",199.99,"1,583","1,596","1,000","288,160.87","290,257.03",200,"2,220","CN",21.37,1,4.4,674,9,52,"VANTRUE","Electronics","Large Standard-Size","FBA","5.67 x 2.91 x 5.31 in",1.48,"N/A","Sep 4, 2024","Sponsored","No",9,"VANTRUE"
12.,"($) VIOFO A229 Plus Dash Cam Front and Rear, Dual STARVIS 2 Sensors, 2 Channel HDR, 1440P+1440P Voice Control Car Dash Camera, 5GHz Wi-Fi, Support 512GB Max, Voice Control, Ultra-Precise GPS","B0CKX14L34","https://www.amazon.com/dp/B0CKX14L34?psc=1","https://m.media-amazon.com/images/I/71rtcpbZU-L._AC_SY355_.jpg","VIOFO",199.99,"5,774","5,591","4,000","1,112,526.64","1,076,912.28",186,647,"CN",21.77,2,4.4,989,8,55,"VIOFO LTD","Electronics","Large Standard-Size","FBA","11.42 x 3.94 x 5.71 in",1.98,"N/A","Oct 12, 2023","Sponsored","No",20,"VIOFO LTD"
13.,"Vantrue N5 4 Channel WiFi 360° All Sides Dash Cam, STARVIS 2, IR Night Vision, 2.7K+1080P*3 Front Rear Inside Dashcam, Voice Control, GPS, 24 Hours Buffered Parking Mode Dash Camera, Support 512GB Max","B0C58H2CSP","https://www.amazon.com/dp/B0C58H2CSP?psc=1","https://m.media-amazon.com/images/I/71+xgHE33yL._AC_SX342_.jpg","VANTRUE",399.99,"1,659","1,566","1,000","618,171.56","581,618.9",200,"1,818","CN",38.04,1,4.4,"1,472",9,"N/A","VANTRUE","Electronics","Large Standard-Size","FBA","7.48 x 3.82 x 5.63 in",2.29,"N/A","Oct 11, 2023",,"No",20,"VANTRUE"
14.,"4K Dash Cam Front and Rear, WiFi Dash Cam with 64GB Card, 4K+1080P Dash Camera for Cars, WiFi Car Camera with App Control, 1.47"" Screen DashCam with 24H Parking Monitor, G-Sensor","B0D4Z8X1M2","https://www.amazon.com/dp/B0D4Z8X1M2?psc=1","https://m.media-amazon.com/images/I/71U3RvBZU4L._AC_SX425_.jpg","Penemay",59.99,"1,410","1,355","1,000","76,362.69","73,240.78",178,"4,286","CN",9.35,2,4.5,929,6,52,"ShengKunZi","Electronics","Large Standard-Size","FBA","8.27 x 2.72 x 4.41 in",0.79,"N/A","Jun 23, 2024",,"No",12,"ShengKunZi"
15.,"($) Vantrue N5 4 Channel WiFi 360° All Sides Dash Cam, STARVIS 2, IR Night Vision, 2.7K+1080P*3 Front Rear Inside Dashcam, Voice Control, GPS, 24 Hours Buffered Parking Mode Dash Camera, Support 512GB Max","B0C58H2CSP","https://www.amazon.com/dp/B0C58H2CSP?psc=1","https://m.media-amazon.com/images/I/71+xgHE33yL._AC_SX342_.jpg","VANTRUE",399.99,"1,659","1,566","1,000","618,171.56","581,618.9",200,"1,818","CN",38.04,1,4.4,"1,472",9,"N/A","VANTRUE","Electronics","Large Standard-Size","FBA","7.48 x 3.82 x 5.63 in",2.29,"N/A","Oct 11, 2023","Sponsored","No",20,"VANTRUE"
16.,"Miden X5 4K WiFi Dash Cam Front and Rear Inside, 2160P+1080P+1080P FHD 3 Channel Dash Camera for Cars, 360° All Sides Dashcam, Free 64G SD Card, G-Sensor, WDR, Night Vision, 24H Parking Monitor","B0F31HRRCQ","https://www.amazon.com/dp/B0F31HRRCQ?psc=1","https://m.media-amazon.com/images/I/71od9sTRIiL._AC_SX679_.jpg","Miden",49.99,"4,972","4,989","4,000","222,842.48","223,618.96",193,628,"N/A",8.66,2,4.7,483,8,"N/A","Yueshijia","Electronics","Large Standard-Size","FBA","5.94 x 2.95 x 4.57 in",0.86,"N/A","Mar 30, 2025",,"No",3,"Yueshijia"
17.,"VIOFO A229 Plus Dash Cam Front and Rear, Dual STARVIS 2 Sensors, 2 Channel HDR, 1440P+1440P Voice Control Car Dash Camera, 5GHz Wi-Fi, Support 512GB Max, Voice Control, Ultra-Precise GPS","B0CKX14L34","https://www.amazon.com/dp/B0CKX14L34?psc=1","https://m.media-amazon.com/images/I/71rtcpbZU-L._AC_SY355_.jpg","VIOFO",199.99,"5,774","5,591","4,000","1,112,526.64","1,076,912.28",186,647,"CN",21.77,2,4.4,989,8,55,"VIOFO LTD","Electronics","Large Standard-Size","FBA","11.42 x 3.94 x 5.71 in",1.98,"N/A","Oct 12, 2023",,"No",20,"VIOFO LTD"
18.,"AZDOME PG17 Max 4K+2.5K Mirror Dash Cam with ADAS, BSD and LCA, 12"" Rear View Mirror Camera with 5GHz WiFi and Voice Control, Rearview Mirror Backup Camera Includes 64GB Card, GPS, Parking Monitor","B0DYV5YQ1Y","https://www.amazon.com/dp/B0DYV5YQ1Y?psc=1","https://m.media-amazon.com/images/I/717HwLl7z1L._AC_SY450_.jpg","AZDOME",169.99,246,247,200,"40,399.54","40,525.12",196,"17,349","CN",20.75,2,4.5,71,9,20,"AZDOME","Electronics","Large Standard-Size","FBA","12.83 x 3.11 x 4.57 in",2.34,"N/A","Apr 7, 2025",,"No",2,"AZDOME"
19.,"4K Dash Cam Front and Rear, 170° Ultra Wide Dashcam with ADAS, Night Vision, 24/7 Parking Mode, Sony IMX415 Sensor, WDR, Free 64GB SD Card, 5G/2.4G WiFi, Built-in GPS, Loop Recording","B0CVXGGHVV","https://www.amazon.com/dp/B0CVXGGHVV?psc=1","https://m.media-amazon.com/images/I/41m-LsiTM5L._AC_SX385_.jpg","BOTSLAB",99.47,"1,468","1,441","1,000","182,770.01","179,262.63",182,"1,114","HK",13.59,3,4.4,"1,395",9,116,"Botslab Security","Electronics","Large Standard-Size","FBA","6.02 x 3.90 x 5.39 in",1.57,"N/A","Feb 22, 2024",,"No",16,"Botslab Security"
20.,"($) Vantrue N4 Pro 4K 3 Channel Dash Cam, STARVIS 2 IMX678 x PlatePix™ x HDR Night Vision, 4K+1080P+1080P Front Inside and Rear Dash Camera, Voice Control, WiFi, GPS, 24H Parking Mode, Support 512GB Max","B0C3M7HPRT","https://www.amazon.com/dp/B0C3M7HPRT?psc=1","https://m.media-amazon.com/images/I/71YPrV9t3FL._AC_SX679_.jpg","VANTRUE",379.99,"1,896","1,874","1,000","650,029.36","641,710.78",198,"1,963","CN",36.27,1,4.4,"2,097",9,"N/A","VANTRUE","Electronics","Large Standard-Size","FBA","6.97 x 3.86 x 5.71 in",2.18,"N/A","Jun 12, 2023","Sponsored","No",24,"VANTRUE"
